"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Castro, Starlin",516770,2019,676,16.4,4.1,".307",".314",29.6,6.2,37.7,"99.25870618","93.71512167",19.1,49.2
"García, Avisaíl",541645,2019,530,23.6,5.8,".334",".343",34.1,11.7,40.3,"102.26663962","95.27715218",32,56.4
"Blackmon, Charlie",453568,2019,634,16.4,6.3,".387",".367",36.8,8.3,40.3,"99.698822","94.031157328",19.7,49.9
"Trout, Mike",545361,2019,600,20,18.3,".436",".460",43.8,18.9,44.4,"103.466773886","95.970475845",19.2,36.8
"Brantley Jr., Michael",488726,2019,637,10.4,8,".367",".357",36.3,5.5,37.3,"98.944887791","93.592931345",10.7,43.8
"Chapman, Matt",656305,2019,670,21.9,10.9,".354",".359",25.1,12.1,49,"103.46333537","96.250434176",23.7,42
"Yelich, Christian",592885,2019,580,20.3,13.8,".442",".429",33.2,15.8,49.1,"104.869553459","97.015311892",28.3,45.2
"Robles, Victor",645302,2019,617,22.7,5.7,".317",".294",34.5,4.8,23,"94.905795816","91.739895663",23.5,49.9
"Rosario, Amed",642708,2019,655,18.9,4.7,".318",".317",35,4.2,39.5,"98.795593821","93.60288",24.2,52
"Puig, Yasiel",624577,2019,611,21.8,7.2,".330",".328",30,9.2,39.1,"100.971591932","94.613191138",28.2,52.6
"Profar, Jurickson",595777,2019,518,14.5,9.3,".301",".328",29.7,6.5,31.3,"97.141906243","92.584582042",20.2,45.2
"Wong, Kolten",543939,2019,549,15.1,8.6,".334",".297",28.6,2.2,25.4,"96.025301799","92.013404021",18.4,48
"Voit III, Luke",572228,2019,510,27.8,13.9,".360",".368",39.6,13.9,42.4,"101.044367708","94.803622951",35.1,47.3
"Marte, Starling",516782,2019,586,16,4.3,".353",".362",31.3,8,38.6,"100.167259491","94.183408704",25.1,53.7
"Devers, Rafael",646240,2019,702,17,6.8,".377",".367",33.1,9,48.5,"103.293569886","96.084697628",24,55
